cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;cod_dpto;departamento;cod_mpio;municipio;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;año_corte;mes_corte
3796;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL META;9483;"INSTITUCIÓN DE EDUCACIÓN PARA  EL TRABAJO Y EL DESARROLLO HUMANO ""INSTITUTO AUTÓNOMO DEL META""";5438;11/29/2019 12:00:00 AM;50;META;50568;PUERTO GAITÁN;NO;;;;;2020;11
4911;SECRETARÍA DE EDUCACIÓN DISTRITO SANTA MARTA;9349;ACADEMIA MERCY CRIADO;1591;10/18/2019 12:00:00 AM;47;MAGDALENA;47001;SANTA MARTA;NO;;;;;2020;11
3767;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOLÍVAR;4249;"Instituciòn de Formaciòn para el Trabajo y el Desarrollo HUmano ""ITEMAR""";0058;04/30/2010 12:00:00 AM;13;BOLÍVAR;13442;MARÍA LA BAJA;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;4063;ACADEMIA FRANCESA DE BELLEZA;3446;09/05/2006 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3802;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CÚCUTA;8439;INSTITUTO POLITECNICO DE LA FRONTERA;2886;12/09/2015 12:00:00 AM;54;NORTE DE SANTANDER;54001;CÚCUTA;NO;;;;;2020;11
3780;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VALLEDUPAR;2207;"INSTITUTO NACIONAL CENTRO DE SISTEMA "" SYSTEM CENTER """;0288;12/01/2008 12:00:00 AM;20;CESAR;20001;VALLEDUPAR;NO;20.012-2;NTC 5555;CELAC;SUSPENDIDA;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;948;ESCUELA DE AUXILIARES DE ENFERMERIA DEL HOSPITAL MILITAR CENTRAL;4568;06/13/2097 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;FT-CER538182;NTC 5555;ICONTEC;VENCIDA;2020;11
3818;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CALI;8888;instituto prueba;3582;05/01/2018 12:00:00 AM;76;VALLE DEL CAUCA;76001;CALI;NO;;;;;2020;11
3805;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL RISARALDA;4516;Corporación para el desarrollo integral de la familia CORPASAR (Apía);Resolución 1494;12/12/2008 12:00:00 AM;66;RISARALDA;66045;APÍA;NO;;;;;2020;11
4436;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PITALITO;4644;INSTITUTO POLITECNICO AMERICANO;2148;12/18/2008 12:00:00 AM;41;HUILA;41551;PITALITO;NO;;;;;2020;11
3782;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MONTERÍA;3132;"CORPORACION EDUCATIVA DE SISTEMAS DE CORDOBA ""CESCOR""";000636;04/21/2094 12:00:00 AM;23;CÓRDOBA;23001;MONTERIA;NO;;;;;2020;11
3805;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL RISARALDA;5346;CORPORACION DE ESTUDIOS TECNICOS WES (WORLD EDUCATIONAL SERVICE);0917-2;10/22/2010 12:00:00 AM;66;RISARALDA;66075;BALBOA;NO;;;;;2020;11
3759;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;6197;INTEGRARTE PRODES;08035;07/04/2012 12:00:00 AM;5;ANTIOQUIA;5001;MEDELLÍN;NO;;;;;2020;11
3788;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SOACHA;1760;INSTITUTO BRITÁNICO;1861;11/15/2000 12:00:00 AM;25;CUNDINAMARCA;25754;SOACHA;NO;FT 008-1;NTC 5555;ICONTEC;VENCIDA;2020;11
3759;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;2920;INSTITUTO DE EDUCACIÓN FORMAL Y DE EDUCACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO COMPUESTUDIO;0131;02/07/2005 12:00:00 AM;5;ANTIOQUIA;5001;MEDELLÍN;SI;20.021-3;NTC 5555;CELAC;RENOVADA;2020;11
3797;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VILLAVICENCIO;3797;ESCUELA DE LA INDUSTRIA PETROLERA PETROSCHOOL;1449;09/15/2009 12:00:00 AM;50;META;50001;VILLAVICENCIO;NO;;;;;2020;11
3815;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL TOLIMA;8974;INSTITUTO SALUD & SEGURIDAD 1 A DE COLOMBIA BRIGADAS JAMGO;4912;09/06/2016 12:00:00 AM;73;TOLIMA;73449;MELGAR;NO;;;;;2020;11
